fullName,street1,street2,city,state,postal,year,make,model,plateID,type,emissions,batteryCap,range,fuelEfficiency,registration,saleAmount,saleDate
Michael Young,991 Clark Crossroad Apt. 430,Apt. 661,North Lauraburgh,HS,17092,2017,Chevrolet,Malibu,0SJ3SMG,gas,3391.19,NULL,NULL,34.5,2022-09-08,NULL,NULL
Kathleen Dominguez,65223 Cynthia Isle,Suite 013,Stevenville,IP,27861,2023,Honda,CR-V,EOAVPM9,gas,3891.99,NULL,NULL,21.9,NULL,NULL,NULL
Alexa Oconnor,493 Adam Ford Apt. 328,NULL,Harpermouth,SV,76274,2018,Toyota,Camry,074F5RF,gas,4035.24,NULL,NULL,26.6,NULL,NULL,NULL
John Munoz,26865 Hubbard Forge Apt. 630,Apt. 502,Cuevasstad,VY,25121,2016,Chevrolet,Impala,RI0H5PC,hybrid,3377.14,17.6,NULL,40.9,2022-11-24,NULL,NULL
Sandra Potter,975 Lori Stravenue Apt. 978,NULL,Turnerchester,CA,23783,2019,Toyota,Prius,3GWWBFV,gas,5949.63,NULL,NULL,31.1,2020-03-15,8476.36,2020-07-15
Samantha Hicks,0957 Trevor Shore,Apt. 278,North Erin,AH,37995,2022,Toyota,Prius,0O7SYWO,hybrid,2791.52,12.1,NULL,39.0,NULL,NULL,NULL
Mark Bruce,463 Villa Place Apt. 600,Suite 141,Brendaton,WT,44381,2020,Tesla,Model 3,4RUXITC,gas,3853.93,NULL,NULL,24.6,NULL,NULL,NULL
Maria Boone,4163 Pamela Wall,Apt. 730,Johnsonberg,TX,48332,2015,Chevrolet,Impala,XPCKM3O,electric,73.58,52.7,367,NULL,NULL,NULL,NULL
Roger Arnold,4767 Nichols Forge,Suite 172,Lake Jenniferborough,DA,91353,2015,Chevrolet,Tahoe,A7Y1LOP,gas,3871.19,NULL,NULL,27.2,NULL,NULL,NULL
Vanessa Williams,15717 Mahoney Course,Suite 606,Nielsenborough,JS,73073,2016,Honda,CR-V,EPOG7A3,electric,69.22,71.5,324,NULL,2022-10-07,12359.92,2024-04-24
Devin Wheeler,6797 Shawn Wall,NULL,Heathermouth,YE,73386,2016,Tesla,Model X,9BAUUUB,electric,50.79,66.6,326,NULL,2024-02-15,NULL,NULL
Penny Wilson,76066 Glenn Pine Suite 135,Suite 452,Brownton,SY,82955,2019,Chevrolet,Tahoe,2V02294,electric,88.25,87.8,345,NULL,2020-10-21,15116.32,2020-10-25
Cassandra Reynolds,8836 Drake Skyway,NULL,West Isaacstad,FK,45746,2019,Tesla,Model 3,KXJ070E,gas,2937.70,NULL,NULL,32.9,NULL,NULL,NULL
David Huff,54213 Schmidt Streets Apt. 043,NULL,New James,VK,55463,2020,Honda,CR-V,XY88GAY,hybrid,2530.89,14.9,NULL,33.5,NULL,NULL,NULL
Rachel Little,9957 Sarah Tunnel,Suite 458,Lake Angela,QK,88700,2017,Ford,Mustang,5QY7QWP,hybrid,3248.48,13.8,NULL,35.7,NULL,NULL,NULL
